"soil","biomass_g"
"Sand",4.65612728606543
"Sand",4.69014305099215
"Sand",4.86568502600326
"Sand",4.2595795115919
"Sand",3.62311763376286
"Sand",5.06230428417343
"Sand",3.55160654640686
"Sand",4.10496154483489
"Sand",3.99543653091799
"Sand",5.62821578041601
"Sand",4.70669539184132
"Sand",3.93894478901095
"Sand",3.95205903395293
"Sand",4.16555764438957
"Sand",3.8358863777829
"Sand",3.84878202277479
"Sand",5.17000767448648
"Sand",5.06491810853221
"Sand",4.11781084740168
"Sand",4.83974901962354
"Loam",6.07985785998143
"Loam",4.8674324654609
"Loam",5.98800611189268
"Loam",5.09415259064434
"Loam",5.0188318632754
"Loam",4.86844146235563
"Loam",6.63988208837353
"Loam",6.19358686165033
"Loam",7.06369762950659
"Loam",4.63166252017874
"Loam",4.50605205828117
"Loam",6.02013370918704
"Loam",5.13567863823143
"Loam",4.60333533900092
"Loam",6.4582606234154
"Loam",3.57956106391903
"Loam",5.35271510163141
"Loam",4.38005092007891
"Loam",6.1147259665366
"Loam",4.97300174882707
"Loam",6.5124396711252
"Loam",5.57569654879515
"Loam",5.28122127051283
"Loam",7.02372596843803
"Loam",5.80627224843274
"Loam",6.54392831828115
"Clay",6.1565577529616
"Clay",6.54485414471527
"Clay",5.78453706019145
"Clay",5.57892885154347
"Clay",3.54951523680593
"Clay",4.31491476064686
"Clay",5.5281554850585
"Clay",4.18074222185039
"Clay",5.21427822401656
"Clay",5.7693724438426
"Clay",5.60646161718655
"Clay",5.97849076743502
"Clay",5.38381455206849
"Clay",6.1583299841209
"Clay",3.97748101221329
"Clay",6.52037531979034
"Clay",6.28759220483526
"Clay",5.19909603282672
"Clay",4.19686218251532
"Clay",4.49820781739161
"Clay",4.01628916796963
"Clay",4.47751014196044
"Clay",2.80496319041273
"Clay",6.728782059456
"Clay",5.8625681942156
"Clay",3.39850384566525
"Clay",3.62248539343342
"Clay",1.96830821115577
"Clay",2.3268153888294
"Clay",5.49994064829674
"Clay",3.108827534247
"Clay",5.47176111021728
