Order,Suborder,Family,Genus,species,Reproductive.mode,B.chromosomes,Ploidy.level,Sex.chromosome.system,Meioformula,Diploid.number,Notes,Citation,Sex.Chromosome.System,,
Coleoptera,Adephaga,Carabidae,Abacetus,Abacetus salzamanni     ,Sexual diplodiploidy,,,XO,2n=41M 20+XO,41,  ,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",XO,,
Coleoptera,Adephaga,Carabidae,Abax,Abax ater     ,Sexual diplodiploidy,,,,2n=35M ,35,  ,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",unreported,,
Coleoptera,Adephaga,Carabidae,Abax,Abax ovalis     ,Sexual diplodiploidy,,,,2n=35M ,35,  ,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",unreported,,
Coleoptera,Adephaga,Carabidae,Abax,Abax parallelepipedus     ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",XO,,
Coleoptera,Adephaga,Carabidae,Abax,Abax parallelus     ,Sexual diplodiploidy,,,XO,2n=35M 17+XO,35,  ,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",XO,,
Coleoptera,Adephaga,Carabidae,Acinopus,Acinopus giganteus,,,,,2n=37M ,37,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Acinopus,Acinopus gutturosus,Sexual diplodiploidy,,,XO,2n=37M 18+XO,37,  ,Serrano and Galian (1998),XO,,
Coleoptera,Adephaga,Carabidae,Acinopus,Acinopus picipes     ,Sexual diplodiploidy,,,,2n=37M ,37,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Acupalpus,Acupalpus brunnipes,,,,,2n=45M ,45,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Acupalpus,Acupalpus elegans ,Sexual diplodiploidy,,,XY,2n=22M 10+XY,22,  ,Rudek (1992),XY,,
Coleoptera,Adephaga,Carabidae,Acupalpus,Acupalpus maculatus,,,,,2n=39M ,39,  ,Serrano and Galian (1998),unreported,,
Coleoptera,Adephaga,Carabidae,Agonini,Agonini sp. 1    ,Sexual diplodiploidy,,,,2n=30M ,30,  ,Serrano and Yadav (1984),unreported,,
Coleoptera,Adephaga,Carabidae,Agonini,Agonini sp. 2    ,Sexual diplodiploidy,,,,2n=36M ,36,  ,Serrano and Yadav (1984),unreported,,
