"bird","wing_mm","tail_mm"
1,78.9384301858733,53.9216466189698
2,72.889876095192,57.8349867119479
3,75.2845108566451,58.1155862248892
4,78.5528715633195,59.64706614043
5,67.062689624881,47.1987321119575
6,77.9861323717905,57.5292125898601
7,81.091652055113,65.389646867745
8,73.4421691147078,61.3512647866147
9,73.9537523525418,50.3869883577039
10,73.1569539326626,50.3061986451271
11,76.6481648104615,54.5378786193482
12,84.4105907380094,55.3553553708284
13,72.5888657606605,54.0833395081647
14,83.6796398994342,60.665069261841
15,76.5868266232564,58.7988982392675
16,74.487357428977,59.7519537154423
17,71.1212264696652,54.0492106486705
18,75.5137111538286,53.2241550410349
19,74.7675172579427,57.0952346065435
20,73.6729377909889,54.2089362801411
21,78.2612231354478,60.519744186332
22,67.1620650579309,41.8822413891447
23,64.7723278576142,51.8949130090003
24,80.0766390487542,61.8151799654471
25,77.9895059719723,60.3778926010353
26,81.9103611770378,56.0750530425551
27,69.7218176996207,53.2708441976368
28,75.9827140382655,58.9169103204715
29,81.8545963159876,62.6605254914655
30,83.2648078929891,62.4653992702793
31,78.3939122115702,58.7473191139428
32,74.4327708544304,57.4938932782935
33,71.0581293563587,50.6876145751978
34,69.1049637339846,53.3343154435041
35,62.420222626275,50.0202288405903
36,74.54151489591,54.6065272979913
37,74.7222485286487,57.2272028686513
38,80.860031063103,60.5664054360769
39,69.2949604122945,59.4616961670039
40,75.7163927537753,56.708235000878
41,74.7640039649418,56.2780168598945
42,68.7197866266022,56.3676595824565
43,91.9487303951378,65.840523814734
44,75.5999265873381,60.9771969612958
45,77.5784846104441,60.7156943597034
