Genus,Subgenus,Species,R,V,J,D,HaploidNum,Arms,X,Y,Sex,Notes,Ref.
Adetoxenus,,Adetoxenus Formosus,4,1,,1,6,7,,,,,"Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
Antopocerus,Hawaiian,Antopocerus aduncus,6,,,,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Antopocerus,Hawaiian,Antopocerus aduncus or damphidiopodus?,6,,,,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Antopocerus,Hawaiian,Antopocerus arcuatus,5,,,1,6,6,,,,,"Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-110"
Antopocerus,Hawaiian,Antopocerus cognatus,5,,,1,6,6,,,,,"Clayton, F.E. 1971  ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-248"
Antopocerus,Hawaiian,Antopocerus diamphidiopodus,6,,,,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Antopocerus,Hawaiian,Antopocerus tanythrix,6,,,,6,6,,,,,"Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278."
Antopocerus,Hawaiian,Antopocerus villosus,5,,,1,6,6,,,,,"Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-111"
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,"Kokee Park, kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,"Alakai Swamp, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,"Mohihi, Kauai","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
Bunostoma,Hawaiian,Bunostoma anomala,3,1,,1,5,6,,,,Kohala Mts. Hawaii,"Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
