id,body,offspring
1,3.206,39
2,3.149,39
3,3.374,40
4,3.447,43
5,3.126,35
6,3.248,47
7,3.348,37
8,3.242,24
9,3.116,3
10,3.055,34
11,3.23,43
12,3.302,47
13,3.309,35
14,3.338,42
15,3.361,49
16,3.314,37
17,3.39,44
18,3.555,52
19,3.149,43
20,3.441,38
21,3.232,47
22,3.365,46
23,3.411,3
24,3.39,47
25,3.192,41
26,3.31,40
27,3.437,39
28,3.17,44
29,3.293,44
30,3.438,43
31,2.995,38
32,3.153,38
33,3.286,38
34,3.283,35
35,3.515,44
36,3.184,40
37,3.233,41
38,3.35,42
39,3.225,42
40,3.785,49
41,3.458,37
42,3.567,49
43,3.116,38
44,3.298,47
45,3.183,34
46,3.411,48
47,3.114,34
48,3.13,37
49,3.01,40
50,2.888,40
51,3.306,33
52,3.31,44
53,3.124,41
54,3.287,47
55,3.282,45
56,3.114,31
57,3.259,39
58,3.153,38
59,3.38,46
60,3.255,35
61,3.269,34
62,3.286,36
63,3.508,50
64,3.158,45
65,3.197,47
66,3.343,43
67,3.416,37
68,3.627,47
69,3.083,33
70,3.471,40
71,3.645,46
72,3.474,50
73,3.278,38
74,3.452,39
75,3.355,45
76,3.383,36
77,3.012,34
78,3.231,43
79,3.426,49
80,3.379,49
81,3.187,44
82,3.325,2
83,3.411,46
84,3.421,45
85,3.231,43
86,3.349,42
87,3.402,37
88,3.144,45
89,3.399,41
90,3.472,46
91,3.295,43
92,3.28,38
93,3.221,42
94,3.025,39
95,3.229,37
96,3.214,16
97,3.297,36
98,3.549,47
99,3.216,35
100,3.227,42
101,3.194,31
102,3.146,36
103,3.47,44
104,3.514,41
105,3.59,46
106,3.414,40
107,3.21,45
