id,horn,body,mating.attempts,grandchildren
1,0.379484274,4.106153128,7,47
2,0.409313108,4.072383967,8,45
3,0.553454715,4.472953969,3,52
4,0.583665095,4.220731948,4,40
5,0.338198497,3.722863837,5,48
6,0.5329603,4.046586204,8,36
7,0.394332697,3.878333764,6,39
8,0.472899255,3.789809031,6,49
9,0.449245997,3.743706184,3,57
10,0.310847044,3.849917642,5,39
11,0.57905566,4.044063784,7,44
12,0.507412154,3.845167692,5,58
13,0.429397348,3.928859436,3,48
14,0.54053164,4.472531767,8,46
15,0.335113359,3.715564511,4,41
16,0.550885265,4.188897401,10,47
17,0.531117315,4.122645115,6,48
18,0.434850749,4.204353574,7,47
19,0.465378412,3.935912759,1,36
20,0.401087802,3.898542031,4,50
21,0.536196852,3.731272342,5,42
22,0.422218483,3.709699133,9,41
23,0.52764603,4.150600693,6,48
24,0.527742961,3.848933757,6,46
25,0.289429838,3.785180074,3,51
26,0.558840102,4.445952514,4,52
27,0.485829172,3.711342518,7,37
28,0.370866868,3.650499267,7,45
29,0.381154495,3.772932525,5,43
30,0.497982908,3.917384258,7,49
31,0.418255367,3.985070793,7,42
32,0.340689327,3.792637941,3,43
33,0.47632129,4.126693211,6,47
34,0.462202283,4.082147913,4,38
35,0.362782979,3.484777086,4,40
36,0.501597894,4.17688056,4,40
37,0.505723912,4.205887804,8,46
38,0.503720812,3.873906796,9,50
39,0.469758919,3.941412607,8,44
40,0.316684408,3.727619426,9,50
41,0.403864624,3.946273189,7,53
42,0.5062794,4.335150418,8,46
43,0.308749274,3.969541964,5,46
44,0.50907435,4.355660812,7,45
45,0.612923679,4.418924793,7,47
46,0.381829094,4.075781001,5,49
47,0.459676705,3.732116078,6,39
48,0.357944595,3.859335433,6,55
49,0.321581719,3.624300011,3,44
50,0.420607453,3.930105895,6,52
51,0.407016911,3.808680541,7,52
52,0.521984199,4.283927188,10,51
53,0.431186112,3.981995609,5,47
54,0.35208608,3.795327892,4,45
55,0.385756673,3.901825254,7,52
56,0.467080262,3.938001528,5,52
57,0.525103691,4.065547429,6,51
58,0.34943637,3.74415586,7,47
59,0.464994857,3.765851495,8,41
60,0.323518084,3.541974305,5,39
61,0.581706579,4.202123233,7,54
62,0.305152192,3.77953275,6,50
63,0.444873998,3.581143692,2,41
64,0.326570591,3.591823222,5,39
65,0.512020753,4.14280511,6,52
66,0.454062125,3.909587775,7,37
67,0.502025756,4.287197227,6,42
68,0.386085006,4.078863606,3,46
69,0.506260087,4.264369968,3,55
70,0.494459942,3.963231904,7,45
71,0.473748869,3.870747916,5,51
72,0.500414302,4.158397422,8,47
73,0.470744102,4.114937631,9,52
74,0.476974841,4.047645643,3,54
75,0.442945397,3.623327733,6,41
76,0.520127107,4.179443152,8,46
77,0.479057965,3.952066345,4,53
78,0.487833176,4.133584759,6,49
79,0.427804488,3.990180839,6,50
80,0.463899233,3.662962729,9,46
81,0.492047968,3.922684015,6,40
82,0.487434943,3.857799683,3,43
83,0.466765859,3.92725038,7,58
84,0.464870227,3.921858315,4,51
85,0.485150128,3.856159857,5,43
86,0.399956908,3.789436947,3,49
87,0.356679952,3.94588319,4,50
88,0.492781958,3.920058807,8,42
89,0.388143712,4.057598923,4,54
90,0.447779699,4.374621246,6,53
91,0.54741338,4.105336758,7,38
92,0.544130846,4.046222839,9,44
93,0.45935211,4.030143252,5,43
94,0.396884474,4.286311823,6,55
95,0.463183228,3.817783409,2,47
96,0.529196105,4.280815954,9,52
97,0.404855627,3.734171884,6,52
98,0.236893692,3.391366042,0,47
99,0.478369408,4.122684438,7,47
100,0.488797628,3.944549916,7,42
101,0.379466833,3.679276509,4,48
102,0.551352047,3.802477127,5,66
103,0.466938234,4.069801825,8,40
104,0.518139618,4.339601016,7,44
105,0.396178621,3.946954222,7,52
106,0.402542988,4.139341437,4,45
107,0.402275096,3.719074894,4,54
