"genes","GOterms"
"tcat4730",137
"tcat2160",20
"tcat18505",3
"tcat9229",3
"tcat8604",121
"tcat10513",63
"tcat14659",87
"tcat13439",121
"tcat3291",104
"tcat6177",37
"tcat3636",77
"tcat1127",89
"tcat15629",17
"tcat10366",116
"tcat11213",36
"tcat16073",23
"tcat439",67
"tcat17714",8
"tcat16508",118
"tcat5685",22
"tcat14724",5
"tcat5986",27
"tcat19801",32
"tcat4146",49
"tcat4926",88
"tcat16481",77
"tcat17986",131
"tcat3741",44
"tcat18353",49
"tcat436",12
"tcat18558",6
"tcat17029",116
"tcat16005",11
"tcat8024",39
"tcat17691",8
"tcat14307",28
"tcat8741",79
"tcat13227",140
"tcat1621",67
"tcat13615",18
"tcat18778",48
"tcat10689",59
"tcat1440",18
"tcat14924",115
"tcat4969",8
"tcat1452",129
"tcat8385",38
"tcat19342",17
"tcat8745",1
"tcat1037",116
"tcat10786",29
"tcat1806",129
"tcat4586",27
"tcat4636",82
"tcat5852",57
"tcat18247",85
"tcat5407",97
"tcat18482",24
"tcat730",124
"tcat11242",27
"tcat8576",153
"tcat9362",41
"tcat12235",88
"tcat12166",142
"tcat1784",119
"tcat15909",100
"tcat12271",97
"tcat13583",76
"tcat14953",20
"tcat12434",54
"tcat3640",71
"tcat2701",125
"tcat9063",20
"tcat4131",122
"tcat11127",73
"tcat17173",26
"tcat97",26
"tcat14844",107
"tcat1396",18
"tcat3348",19
"tcat15826",152
"tcat2728",98
"tcat19603",119
"tcat6181",35
"tcat12957",40
"tcat5884",134
"tcat8886",30
"tcat3686",35
"tcat11397",94
"tcat244",131
"tcat18490",74
"tcat18330",105
"tcat19783",70
"tcat7344",109
"tcat12176",56
"tcat46",37
"tcat3099",70
"tcat6104",34
"tcat4768",13
"tcat18562",104
"tcat7170",77
"tcat14008",13
"tcat4413",108
"tcat11880",39
"tcat9205",138
"tcat16761",119
"tcat19521",46
"tcat8827",137
"tcat13874",35
"tcat1446",80
"tcat18240",107
"tcat5923",87
"tcat1296",87
"tcat6585",1
"tcat816",130
"tcat6945",42
"tcat18334",98
"tcat17977",49
"tcat16831",89
"tcat16971",10
"tcat11373",49
"tcat14948",34
"tcat9240",134
"tcat18183",131
"tcat1329",136
"tcat18082",140
"tcat17345",51
"tcat17402",35
"tcat1743",38
"tcat489",23
"tcat7201",116
"tcat17369",98
"tcat6704",14
"tcat4014",118
"tcat15832",73
"tcat18260",38
"tcat1172",113
"tcat4787",4
"tcat15385",27
"tcat11428",3
"tcat19316",98
"tcat1252",27
"tcat16246",153
"tcat14860",123
"tcat1188",83
"tcat13428",83
"tcat7056",77
"tcat13864",83
"tcat4050",84
"tcat15708",55
"tcat15714",101
"tcat450",117
"tcat1569",14
"tcat5146",139
"tcat17762",142
"tcat7673",135
"tcat13614",24
"tcat11602",14
"tcat4857",31
"tcat5182",116
"tcat1047",106
"tcat17197",130
"tcat3616",146
"tcat10693",85
"tcat14652",74
"tcat3960",122
"tcat9874",125
"tcat14102",71
"tcat14768",90
"tcat8358",75
"tcat7193",48
"tcat13933",5
"tcat2446",37
"tcat6303",52
"tcat2047",129
"tcat651",153
"tcat14131",41
"tcat15954",15
"tcat16895",131
"tcat2262",127
"tcat17976",38
"tcat14609",142
"tcat7307",103
"tcat13120",9
"tcat18813",7
"tcat2672",84
"tcat3873",126
"tcat12051",4
"tcat17361",84
"tcat1136",56
"tcat14877",77
"tcat18022",21
"tcat15343",82
"tcat18815",40
"tcat1546",85
"tcat18990",62
"tcat16264",149
"tcat3335",43
"tcat17933",46
"tcat2276",142
"tcat12063",43
"tcat18147",39
"tcat10826",105
"tcat8182",113
"tcat10469",88
"tcat5649",71
"tcat6821",137
"tcat16813",27
"tcat12807",61
"tcat6220",7
"tcat18463",78
"tcat5653",12
"tcat15875",78
"tcat12214",37
"tcat18683",97
"tcat8958",129
"tcat10170",134
"tcat981",125
"tcat10765",36
"tcat8026",84
"tcat423",85
"tcat2362",144
"tcat3643",93
"tcat11278",60
"tcat19204",81
"tcat6542",113
"tcat594",25
"tcat12414",152
"tcat543",142
"tcat7876",88
"tcat18811",7
"tcat15590",79
"tcat10756",118
