Order,Family,Genus,Species,femalediploidnumber,sexchromosome
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa marismortui,24,XO
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa tali,20,XO
Orthoptera,Acrididae,Baeacris,Baeacris punctulatus,22,XY
Orthoptera,Acrididae,Dichromatos,Dichromatos corupa,22,XXY
Orthoptera,Acrididae,Dichromatos,Dichromatos lilloanus,22,XXY
Orthoptera,Acrididae,Dichromatos,Dichromatos montanus,22,XXY
Orthoptera,Acrididae,Dichromatos,Dichromatos schrottkyi,22,XXY
Orthoptera,Acrididae,Leiotettix,Leiotettix politus,14,XY
Orthoptera,Acrididae,Leiotettix,Leiotettix politus,14,XXY
Orthoptera,Acrididae,Paratylotropidia,Paratylotropidia morsei,NA,XXY
Orthoptera,Acrididae,Ronderosia,Ronderosia dubius,22,XXY
Orthoptera,Acrididae,Ronderosia,Ronderosia robustus,22,XXY
Orthoptera,Acrididae,Scotussa,Scotussa daguerrei,22,XXY
Orthoptera,Acrididae,Scotussa,Scotussa daguerrei,22,XXY
Orthoptera,Lentulidae,Karruacris,Karruacris browni,NA,XXY
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa gryllotalpa,12,XY
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa stepposa,12,XY
Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa unispina,20,XO
Orthoptera,Tettigoniidae,Aerotegmina,Aerotegmina kilimandjarica,34,XO
Orthoptera,Tettigoniidae,Aerotegmina,Aerotegmina shengenae,28,XO
Orthoptera,Acrididae,Abracris,Abracris dilecta,24,XO
Orthoptera,Acrididae,Abracris,Abracris sp. B,22,XO
Orthoptera,Acrididae,Adimantus,Adimantus cubiceps,24,XO
Orthoptera,Acrididae,Adimantus,Adimantus ornatissimus,24,XO
Orthoptera,Acrididae,Albretchia,Albretchia palpata,24,XO
Orthoptera,Acrididae,Aleuas,Aleuas gracilis,20,XY
Orthoptera,Acrididae,Aleuas,Aleuas lineatus,20,XY
Orthoptera,Acrididae,Aleuas,Aleuas sp. 1,20,XY
Orthoptera,Acrididae,Aleuas,Aleuas sp. 2,22,XY
Orthoptera,Acrididae,Aleuas,Aleuas sp. 3,20,XY
Orthoptera,Acrididae,Aleuas,Aleuas vitticollis,20,XO
Orthoptera,Acrididae,Allotruxalis,Allotruxalis sp.,24,XO
Orthoptera,Acrididae,Allotruxalis,Allotruxalis strigata,24,XO
Orthoptera,Acrididae,Amblytropidia,Amblytropidia australis,24,XO
Orthoptera,Acrididae,Apacris,Apacris rubrithorax,24,XO
Orthoptera,Acrididae,Apacris,Apacris sp. 1,24,XO
Orthoptera,Acrididae,Apolobamba,Apolobamba prope pulchra,24,XO
Orthoptera,Acrididae,Atrachelacris,Atrachelacris olivaceus,22,XY
Orthoptera,Acrididae,Atrachelacris,Atrachelacris unicolor,22,XY
