"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"2","state","posterior","prior","likelihood","treeModel.rootHeight","tmrca(Coleoptera)","tmrca(Adephaga)","tmrca(Polyphaga)","tmrca(Hydradephaga)","tmrca(Elatridae)","tmrca(Brentidae)","tmrca(Passalidae)","birthDeath.meanGrowthRate","birthDeath.relativeDeathRate","16s_fas_gb.kappa","16s_fas_gb.frequencies1","16s_fas_gb.frequencies2","16s_fas_gb.frequencies3","16s_fas_gb.frequencies4","18s_fas_gb.kappa","18s_fas_gb.frequencies1","18s_fas_gb.frequencies2","18s_fas_gb.frequencies3","18s_fas_gb.frequencies4","28s_fas_gb.kappa","28s_fas_gb.frequencies1","28s_fas_gb.frequencies2","28s_fas_gb.frequencies3","28s_fas_gb.frequencies4","coi_1_1.kappa","coi_1_1.frequencies1","coi_1_1.frequencies2","coi_1_1.frequencies3","coi_1_1.frequencies4","ucld.mean","ucld.stdev","meanRate","coefficientOfVariation","covariance","16s_fas_gb.treeLikelihood","18s_fas_gb.treeLikelihood","28s_fas_gb.treeLikelihood","coi_1_1.treeLikelihood","speciation"
"3","9000","-429144.1534068073","-7762.629007555535","-421381.52439925174","291.56824773841873","291.5614127887814","238.38777237268326","268.9523123466011","213.0519006350656","135.86438828342884","133.54381729525298","49.25387597135449","0.019216517969373785","0.05467144693581657","1.4550790894847485","0.26586615290421134","0.22609454049087757","0.2500000001","0.2580393065049111","3.45544842875581","0.2579129177027551","0.2430289422611849","0.2436753628706873","0.2553827771653727","2.2158984419702867","0.2547228090081357","0.24783563732528452","0.2456063942790164","0.25183515938756335","1.9488741961985743","0.24061916781570772","0.25281077919081574","0.24395526775821819","0.26261478523525833","7.70113200012015E-4","3.329487470544719E-4","7.701034895585857E-4","3.2624334699704025E-4","0.06853900406152487","-75068.93074233748","-71346.8195523597","-21860.539900522926","-253105.2342040316","-5078.82201054533"
"4","19000","-418211.85248853685","-7795.912781935427","-410415.9397066013","297.6063760857557","297.5993995901733","238.92247388719977","274.52208406851634","217.46402277338814","138.6780232407708","136.3093952176661","50.273881500165245","0.020092564359207032","0.009194969640073651","1.1184459760769538","0.27447409115370586","0.20993138501092207","0.24206525205484963","0.2735292717805225","3.310298800917607","0.23212503269109752","0.24699130934219582","0.2436753628706873","0.27720829509601935","2.9168044408746505","0.2452883621008525","0.24308563642130795","0.2543939842789166","0.25723201719892297","1.7677780317203302","0.2418053860651797","0.27345978676988464","0.20645063281408138","0.27828419435085433","7.316896991093622E-4","0.2161259388304444","7.217230692560641E-4","0.2088829277639143","-0.009778977019885043","-73583.14365618155","-68996.79105105641","-21494.11277371537","-246341.89222564804","-5154.6268052659125"
"5","29000","-411063.2029946391","-7826.135406333272","-403237.06758830586","298.59243118458335","298.58543157387436","235.46892665908558","268.4460524347696","218.18454331897448","139.13750322137614","138.09340318462574","50.44045325794509","0.01934103057347691","0.01367847763247967","1.1184459760769538","0.28606081024925667","0.19091189769491962","0.2494980202753013","0.2735292717805225","3.347413342410028","0.2169801834613024","0.2570690803961917","0.23904907626515107","0.28690165987735483","2.9686771508755028","0.24567729064535654","0.2633708759163616","0.2324918846259207","0.2584599488123612","1.8051904116194615","0.23117808059743153","0.28408709223763284","0.20581512167818014","0.27891970548675554","7.857045605260225E-4","0.463384799723805","7.425300213922535E-4","0.4624376613581542","0.03600931942901082","-72619.98046212834","-66517.67544059585","-21284.546005510816","-242814.86568007086","-5191.397468897266"
"6","39000","-406491.04844611726","-6915.068375765559","-399575.98007035174","300.42973681962894","300.4226941387586","236.91781933232764","270.0978606969129","216.64145760402644","139.99364722241674","138.94312260593583","65.54777141646017","0.01840309778785562","0.006836559787962002","1.1184459760769538","0.3095675997475411","0.1741767837548658","0.24223427370051795","0.27402134279707524","3.5108172857341264","0.2098324332019866","0.2576933394253147","0.23904907626515107","0.29342515110754763","3.2783668416423417","0.24153443923150575","0.2663376127969481","0.23366799915918496","0.2584599488123612","1.8051904116194615","0.23117808059743153","0.28408709223763284","0.19743182168483725","0.2873030054800984","8.143382233284064E-4","0.5717508006155596","7.479211268581448E-4","0.5882428738323611","0.05426885055428408","-71936.41052693254","-65141.8312564682","-21149.457800972443","-241348.28048597852","-5210.274929037711"
"7","49000","-403132.3401458092","-6482.588791899357","-396649.75135390984","299.06577013889614","299.05875943216444","235.39159652407298","268.87160231640854","217.65950091219952","139.3580687595555","135.69239764310527","73.45308328251846","0.017991985404889808","0.02126583594561346","1.1184459760769538","0.327969907384961","0.16318168343581155","0.24223427370051795","0.2666141354787096","3.7188215846589143","0.2098324332019866","0.2615920019564738","0.23303393125020203","0.29554163359133756","3.2739756921391345","0.24041975906846258","0.26327478642782204","0.22490277233531733","0.271402682168398","1.8051904116194615","0.23420783102954418","0.2983761797398271","0.18011298375053042","0.2873030054800984","8.528834268644794E-4","0.6328123843573923","7.718200788308016E-4","0.6592191280742926","0.07435907517719435","-71496.63535518793","-64393.699523812145","-21041.41997715313","-239717.99649775663","-5207.096232205133"
"8","59000","-400455.1639433685","-5694.266302912209","-394760.8976404562","295.32210554486045","294.3886694056428","237.6240557569453","268.60082104260573","217.44029547583315","139.21772089444696","137.49481846550606","92.56938476035555","0.018413729207841994","0.014215666883745355","1.2020916350732176","0.327969907384961","0.15955770561308566","0.24223427370051795","0.2702381133014355","3.7188215846589143","0.2012854408911569","0.2647287702889705","0.22989716291770534","0.3040886259021673","3.0325723842158028","0.2407614485184801","0.2581891595844269","0.227042644891519","0.274006747005574","1.8051904116194615","0.2347219580173298","0.29118953759645405","0.16385279591456545","0.3102357084716508","8.617472972626825E-4","0.6797838075590976","7.81211590802361E-4","0.6912162227796006","0.09781401117140764","-71425.36865490429","-63759.599507306906","-21002.539590333396","-238573.38988791162","-5209.137647299871"
"9","69000","-398737.07981753605","-5262.563218468755","-393474.51659906725","291.2510522465251","290.48610348922824","237.65573146788813","268.6366260116744","217.46928065548963","139.23627886523457","136.27359688602493","116.42013596198204","0.019225100802311757","0.0017684057807191907","1.1971160097155922","0.3375681261818901","0.15375207365570023","0.23137968399473977","0.2773001161676699","3.7188215846589143","0.19093080512496866","0.27986991313770376","0.2201871912928265","0.3090120904445012","3.404737279351956","0.24132562058710408","0.25431747894265283","0.23035015346466914","0.274006747005574","1.8051904116194615","0.22932535749686328","0.29495663433569985","0.16385279591456545","0.31186521225287156","8.741548083111243E-4","0.7033410350445412","7.935201367944388E-4","0.7208979052785356","0.10509650758444357","-71154.43821604477","-63335.140209921745","-20992.48294162139","-237992.45523147937","-5207.916758106258"
"10","79000","-397309.2659782629","-5256.8835624571575","-392052.3824158057","291.58943123199384","290.27599100860925","239.3928523029667","270.60019860143603","219.05885064432553","140.25401254041964","137.26967513315864","117.27109731920714","0.017801749913668334","0.0034669581376710404","1.1971160097155922","0.35181822833612675","0.14947465325322237","0.2262089370013154","0.27249818140933546","4.021453303067152","0.19304794702252315","0.2746998976092432","0.21302573464394775","0.3192264207242859","3.1704004448924854","0.24132562058710408","0.2601127422189394","0.22455489018838257","0.274006747005574","1.8235750816608818","0.21041201214161118","0.29096275710847375","0.15143934358341082","0.3471858871665044","8.870879040729817E-4","0.7297147172398755","8.038982243876057E-4","0.7498406652153629","0.12023153332436594","-71004.5859826004","-63159.69503318105","-20973.34028708185","-236914.76111294236","-5209.998551778598"
"11","89000","-396208.90670247225","-5257.92931451176","-390950.9773879604","290.61036364928634","289.64203069298776","234.8089511968507","270.00921005044864","218.58042796247844","139.9476989602012","136.96987932066205","117.01497823195008","0.019060566491749517","0.0010972071160131193","1.1971160097155922","0.36495906711945325","0.13486005731842768","0.2203450009790628","0.27983587458305625","4.519409273338178","0.19132931632831557","0.2826384009876018","0.20216560116818555","0.32386668151589715","3.037413323616355","0.23716408571495207","0.26146889097801257","0.2331643886857255","0.26820263462130983","1.7298393924700517","0.21041201214161118","0.28400322727176364","0.13833896009156857","0.36724580049505673","8.878352223668772E-4","0.7398494767657138","8.022202648692305E-4","0.7608556864764381","0.12501726590621162","-70735.75728301876","-62954.33888800476","-20908.08471724971","-236352.79649968722","-5211.601392888368"
