"plant","nutrient","biomass"
1,"A",6.6708047417735
2,"A",9.4212660941788
3,"A",6.28560846867295
4,"A",7.79904241740413
5,"A",6.52604285760043
6,"A",8.22640548855675
7,"A",6.11340962420293
8,"A",8.47838094947524
9,"A",7.99106195089331
10,"A",8.2308250213278
11,"A",8.31488503467868
12,"A",7.72129382633158
13,"A",9.45304506514164
14,"A",8.40120446372383
15,"A",7.64509313956549
16,"A",10.534257022107
17,"A",9.57910731457407
18,"A",9.42346099193564
19,"A",7.91000332250666
20,"A",9.82970509148015
21,"B",9.25143340320333
22,"B",9.35370407742634
23,"B",8.2510782482249
24,"B",10.0845411486902
25,"B",12.5539010543118
26,"B",11.7255858871454
27,"B",7.18958585602138
28,"B",9.50335146132196
29,"B",8.65520231169199
30,"B",9.45669368140451
31,"B",9.72167197632313
32,"B",10.8867472183899
33,"B",9.31358281280672
34,"B",6.06393554191031
35,"B",10.0137440896694
36,"B",8.40937479408623
37,"B",9.38927488355955
38,"B",6.26910216922439
39,"B",8.1415907512724
40,"B",11.0676601504571
41,"C",13.5090900609605
42,"C",12.8049045431614
43,"C",12.0907781603698
44,"C",8.68793677214197
45,"C",8.79726122783429
46,"C",12.4367775369494
47,"C",11.1225795485697
48,"C",13.0823829276743
49,"C",10.4751558502267
50,"C",13.4266879093301
51,"C",11.6596524583068
52,"C",10.1457532460507
53,"C",10.0912046271679
54,"C",13.4665320682098
55,"C",10.7969058510367
56,"C",13.3580709352996
57,"C",8.71128940136476
58,"C",10.0963478225669
59,"C",8.90968571122764
60,"C",8.98662152328128
61,"D",10.9172810169389
62,"D",8.86242513447668
63,"D",14.0119342485353
64,"D",14.1405869234289
65,"D",13.5543233794217
66,"D",11.2479723479309
67,"D",12.5195914985564
68,"D",14.2176742612894
69,"D",15.0775003175945
70,"D",13.2317417318644
71,"D",12.8814549971817
72,"D",10.8688301105948
73,"D",8.89247662241674
74,"D",12.9571871783998
75,"D",9.23054399981575
76,"D",13.2490196830571
77,"D",13.1969135886767
78,"D",13.848946543647
79,"D",13.8060116913038
80,"D",14.2845183316637
