"plant","before","after"
1,18.1287374581788,16.5908885265036
2,19.7004842068794,17.1879623862451
3,17.0935988722271,15.9246713928148
4,19.1601148465114,18.1799555013732
5,17.2033077635387,19.5839635129769
6,16.1870417393085,15.5237132607175
7,20.6696341361419,18.3367705661159
8,14.5322329901776,13.5072089693795
9,19.8717791815863,23.1319664031365
10,22.4851686368019,23.4622926225601
11,20.7551877987335,20.7197566091772
12,16.6580256188033,17.5399583382972
13,16.4580758977598,15.6544840924111
14,17.723187274025,15.5019695831365
15,15.9053251759928,14.6568744748701
16,18.3055244096632,17.9587803775808
17,19.5010181394031,16.7788284710902
18,19.3869261633613,20.0363998105208
19,16.734270342003,15.0711031845737
20,19.2189343122564,15.8013784545724
