ID,Specimen,Field Number,country,State,Speciesb,COLOR,Sex,SVL,TL,RTL,V,SC,NBB,ABW,MBW,PBW,AIB,MIB,PIB,AWR,MWR,PWR,ASR,MSR,PSR,RSL,LSL,RIL,LIL,RPRO,LPRO,RPOC,LPOC,SBP,ED,HL,HW
11,UTA 4672,,Costa Rica,Lim¢n,IC,red,M,466,685,0.32,241,164,37,18,18,9,5,5,6,1.619,2,1.429,17,17,15,9,9,10,10,2,2,3,2,8,2.8,9.45,7.03
29,UTA 53411,,Mexico,Quintana Roo,IC,red,F,544,766,0.29,247,153,34,19,16,12,7,5,6,1.941,2.083,1.25,17,17,17,9,8,10,10,1,2,2,2,6,2.8,10.3,7.03
30,UTA 52480,,Mexico,San Luis Potos¡,IC,red,M,590,869,0.321,245,170,35,20,14,9,6,6,13,4,2.619,1.84,17,17,16,8,8,10,9,2,2,2,2,5,3,11.29,8.41
31,UTA 4673,,Mexico,Oaxaca,IC,red,M,530,768,0.31,246,153,34,19,17,12,6,3,9,2.188,2.08,1.609,16,17,16,8,8,10,10,2,2,2,2,8,2.8,10.58,7.91
35,UTA 52643,,Mexico,Oaxaca,IC,red,M,766,1029,0.256,249,106,31,19,18,15,4,5,8,2.417,3.053,1.909,16,17,17,8,8,10,9,2,2,2,2,10,4.2,14.21,9.58
36,UTA 25819,,Guatemala,,IC,red,M,598,880,0.32,244,156,34,17,15,12,6,5,7,2.647,2.08,1.5,17,17,17,7,8,10,9,2,2,2,2,7,3.1,11.03,7.91
37,UTA 6638,,,,IC,red,M,500,740,0.324,231,145,40,15,15,13,5,3,6,1.087,1.038,1.08,17,17,16,8,8,10,9,2,2,2,2,6,2.9,11.14,7.71
38,UTA 3012,,,,IC,red,F,746,1057,0.294,226,146,34,12,14,11,4,9,12,2.5,2.571,2,17,17,17,10,9,10,10,1,2,3,3,8,3.4,14.9,12.31
39,UTA 3011,,,,IC,red,F,657,954,0.311,228,147,27,20,22,18,4,5,7,2.737,2.607,2.121,16,18,16,8,8,9,10,2,1,2,2,8,3.2,13.26,11.52
40,UTA 3013,,,,IC,red,M,580,845,0.314,250,156,30,18,21,14,4,4,8,2.563,2.619,2.045,16,18,17,9,8,10,11,2,2,3,2,10,3,11.56,7.89
41,UTA 3016,,,,IC,red,M,599,867,0.309,250,160,34,20,17,14,5,4,5,2.529,2.55,1.955,17,17,17,8,8,10,10,2,1,3,3,7,3,11.27,8.51
80,UTA 46124,,,,IC,red,F,437,614,0.288,237,151,36,15,13,12,5,5,11,2.5,2.333,1.875,19,17,17,8,8,10,10,3,2,4,2,6,2.6,11.22,6.4
81,UTA 46684,JAC 20550,,,IC,red,M,544,795,0.316,239,164,33,18,17,10,4,4,13,2.143,2.667,2.2,19,17,17,8,8,10,10,1,2,2,2,8,2.9,11.7,7.1
82,UTA 24861,,,,IC,red,M,620,917,0.324,254,171,43,18,16,12,3,3,9,1.5,2.5,2.1,19,17,17,8,8,9,10,1,1,2,1,8,3.3,12.6,7
83,UTA 25042,,,,IC,red,F,687,982,0.3,239,155,47,17,13,7,3,4,9,3.25,3.286,2.222,19,17,17,9,9,10,10,2,3,2,2,8,3.3,15.1,9.4
16,UTA 51853,,Mexico,Oaxaca,IG,blue,F,576,801,0.281,229,119,43,13,8,7,3,8,10,1.389,1.64,1,17,17,15,8,8,9,10,1,1,2,2,9,3,11.48,9.43
19,UTA 8828,,Guatemala,,IG,blue,M,453,662,0.316,220,138,53,13,12,5,4,2,3,1.15,1.087,1,17,17,15,7,8,9,9,1,1,2,2,10,2.4,10.36,7.61
