"","name","chrom.num"
"1","ADCAHA_Abacetus_sp",21
"2","ADCAHA_Abax_ovalis",36
"3","ADCAHA_Abax_parallelepipedus",36
"4","POCUMO_Acalles_camelus",15
"5","POCUMO_Acalles_echinatus",15
"6","POCELA_Acalolepta_fraudatrix",11
"7","POCELA_Acalolepta_luxuriosa",12
"8","POCHGA_Acalymma_blandulum",10
"9","POCHGA_Acalymma_fairmairei",14
"10","POCHGA_Acalymma_trivittatum",11
"11","POCHGA_Acalymma_vittatum",11
"12","POCHBR_Acanthoscelides_obtectus",10
"13","ADCAHA_Acinopus_picipes",19
"14","POCELE_Acmaeops_sp",11
"15","POELAG_Adelocera_sp_M",10
"16","POCUMO_Adexius_scrobipennis",18
"17","POSCRU_Adoretus_lasiopygus",11
"18","POSCRU_Adoretus_versutus",11.5
"19","POCHGA_Aedmon_sp",19
"20","ADDYAG_Agabus_biguttatus",22
"21","ADDYAG_Agabus_bipustulatus",22
"22","ADDYAG_Agabus_confinis",21.5
"23","ADDYAG_Agabus_conspersus",21
"24","ADDYAG_Agabus_ramblae",22
"25","ADDYAG_Agabus_sturmii",22
"26","POCELA_Agapanthia_daurica",10
"27","POCHGA_Agelastica_coerulea",12
"28","ADCAHA_Agonum_marginatum",19
"29","ADCAHA_Agonum_muelleri",19
"30","POELEL_Agriotes_lineatus",10
"31","POELEL_Agriotes_obscurus",10
"32","POELEL_Agriotes_sputator",10
"33","POCHCA_Agroiconota_propinqua",19
"34","POELAG_Agrypnus_sp",7.5
"35","POCHGA_Alagoasa_bicolor",11
"36","POCHGA_Alagoasa_cf_arcifera",7
"37","POCHGA_Alagoasa_cruxnigra",11
"38","POCHGA_Alagoasa_decemgutatta",11
"39","POCHGA_Alagoasa_extrema",11
"40","POCHGA_Alagoasa_libentina",11
"41","POSTAL_Aleochara_sp",9
"42","POTEAL_Alleculinae_sp",8.5
"43","POCHAL_Altica_lythri",12
"44","ADCAHA_Amara_sp",17.6
"45","ADCACI_Amblycheila_baroni",22
"46","ADCAHA_Amblystomus_sp",13
"47","ADCAPS_Amblytelus_curtus",15
"48","ADCAHA_Amphasia_sericea",15
"49","POSCME_Amphimallon_solstitiale",10
"50","POCOCO_Anatis_sp",9
"51","ADCAHA_Anisodactylus_hispanus",19
"52","ADCAHA_Anisodactylus_virens",19
"53","POSCRU_Anomala_bengalensis",9
"54","POSCRU_Anomala_dorsalis",10
"55","POSCRU_Anomala_polita",10
"56","POSCRU_Anomala_varicolor",10
"57","POCELA_Anoplophora_chinensis",15
"58","POCELA_Anoplophora_malasiaca",15
"59","POGEGE_Anoplotrupes_stercorosus",11
"60","POBUBU_Anthaxia_hungarica",8
"61","ADCAHA_Anthia_sp",18
"62","POANAN_Anthicidae_sp",9
"63","POCUCU_Anthonomus_sp",16
"64","PODEME_Anthrenus_sp",9
"65","ADCAHA_Apenes_sp",18
"66","POSCAP_Aphodius_ater",10
"67","POSCAP_Aphodius_borealis",10
"68","POSCAP_Aphodius_coniugatus",10
"69","POSCAP_Aphodius_consputus",10
"70","POSCAP_Aphodius_constans",10
"71","POSCAP_Aphodius_contaminatus",10
"72","POSCAP_Aphodius_depressus",10
"73","POSCAP_Aphodius_distinctus",10
"74","POSCAP_Aphodius_elevatus",10
"75","POSCAP_Aphodius_erraticus",10
"76","POSCAP_Aphodius_fimetarius",10
"77","POSCAP_Aphodius_foetens",10
"78","POSCAP_Aphodius_foetidus",10
"79","POSCAP_Aphodius_fossor",10
"80","POSCAP_Aphodius_haemorrhoidalis",10
"81","POSCAP_Aphodius_luridus",10
"82","POSCAP_Aphodius_moestus",10
"83","POSCAP_Aphodius_obliteratus",10
"84","POSCAP_Aphodius_paykulli",10
"85","POSCAP_Aphodius_pedellus",10
"86","POSCAP_Aphodius_prodromus",10
"87","POSCAP_Aphodius_rufus",10
"88","POSCAP_Aphodius_sphacelatus",10
"89","POSCAP_Aphodius_sticticus",10
"90","POSCAP_Aphodius_vittatus",10
"91","POCHGA_Aphthona_lutescens",12
"92","POBRAP_Apion_sp",11
"93","POATAP_Apoderus_coryli",14
"94","POATAP_Apoderus_jekelii",18.5
"95","POSCME_Apogonia_sp",10.5
"96","POCELA_Apomecyna_sp",11
"97","POCHGA_Apophylia_sp",14
"98","POCELA_Apriona_japonica",18
"99","ADCABR_Aptinus_displosor",16
"100","POANCH_Araecerus_fasciculatus",11
"101","OUT_Archostemata_sp",10
"102","POCHGA_Argopus_sp",25
"103","ADCAPA_Arthropterus_sp",23
"104","POCESP_Asemum_striatum",10
"105","POCHGA_Asiorestia_sp",19
"106","POCHGA_Asphaera_abdominalis",11
"107","POCHGA_Asphaera_unicolor",11
"108","POCHCA_Aspidomorpha_sp",9
"109","POLALA_Aspisoma_sp",10
"110","POSCAP_Ataenius_sp",10
"111","POELDE_Athous_sp",10
"112","PODEAN_Attagenus_sp",9
"113","POPAAU_Aulacocyclus_sp",15
"114","POCHGA_Aulacophora_sp",24
"115","POORAU_Aulacoscelis_melanocera",12
"116","POCOCO_Azya_sp",11.5
"117","POCHCA_Baliosus_sp",9
"118","POCUEN_Barynotus_moerens",22
"119","POCUEN_Barypeithes_sp",12
"120","POCHEU_Basilepta_sp",13
"121","POCELA_Batocera_rubus",10
"122","ADCATR_Bembidion_aenulum",12
"123","ADCATR_Bembidion_americanum",12
"124","ADCATR_Bembidion_antiquum",12
"125","ADCATR_Bembidion_arenobilis",12
"126","ADCATR_Bembidion_articulatum",12
"127","ADCATR_Bembidion_balli",12
"128","ADCATR_Bembidion_bellorum",12
"129","ADCATR_Bembidion_bifossulatum",12
"130","ADCATR_Bembidion_californicum",12
"131","ADCATR_Bembidion_chalceum",13
"132","ADCATR_Bembidion_concolor",12
"133","ADCATR_Bembidion_confusum",12
"134","ADCATR_Bembidion_coxendix",12
"135","ADCATR_Bembidion_decorum",12
"136","ADCATR_Bembidion_honestum",12
"137","ADCATR_Bembidion_inaequale",11
"138","ADCATR_Bembidion_insulatum",12
"139","ADCATR_Bembidion_integrum",12
"140","ADCATR_Bembidion_lampros",12
"141","ADCATR_Bembidion_lapponicum",12
"142","ADCATR_Bembidion_levettei",11
"143","ADCATR_Bembidion_levettei_carrianum",11
"144","ADCATR_Bembidion_levigatum",12
"145","ADCATR_Bembidion_louisella",12
"146","ADCATR_Bembidion_mexicanum",12
"147","ADCATR_Bembidion_obtusum",12
"148","ADCATR_Bembidion_planatum",12
"149","ADCATR_Bembidion_properans",12
"150","ADCATR_Bembidion_punctulatum",12
"151","ADCATR_Bembidion_quadrimaculatum",12
"152","ADCATR_Bembidion_rapidum",12
"153","ADCATR_Bembidion_rothfelsi",17
"154","ADCATR_Bembidion_ruficorne",13
"155","ADCATR_Bembidion_rufotinctum",12
"156","ADCATR_Bembidion_sejunctum",12
"157","ADCATR_Bembidion_tairuense",12
"158","ADCATR_Bembidion_tetracolum",12.5
"159","ADCATR_Bembidion_tibiale",12
"160","ADCATR_Bembidion_transversale",12
"161","ADCATR_Bembidion_umbratum",12
"162","POHYHY_Berosus_sp",9
"163","POLAPH_Bicellonycha_sp",9
"164","POTETE_Blaps_sp",14
"165","POCHGA_Blepharida_rhois",16
"166","POSCSC_Bolbites_onitoides",10
"167","POBOBO_Bostrychopsis_sp",10
"168","POCUEN_Bothrometopus_sp",11
"169","ADCABR_Brachinus_sp",11
"170","POCUEN_Brachyderes_incanus",11
"171","ADCAHA_Bradybaenus_sp",18.5
"172","POBRBR_Brentus_anchorago",6
"173","POCHEU_Bromius_obscurus",10
"174","POCHBR_Bruchidius_aureus",10
"175","POCHBR_Bruchidius_saundersi",10
"176","POCHBR_Bruchidius_urbanus",10
"177","POCHBR_Bruchus_pisorum",10.5
"178","POCHBR_Bruchus_rufimanus",19
"179","POSCSC_Bubas_bison",10
"180","POSCSC_Bubas_bubalus",10
"181","POBUBU_Buprestis_sp",10
"182","POBYBY_Byrrhus_sp",9
"183","POSCSC_Caccobius_schreberi",10
"184","ADCAHA_Calathus_abaxoides",28
"185","ADCAHA_Calathus_ambiguus",19
"186","ADCAHA_Calathus_ascendens",11.5
"187","ADCAHA_Calathus_asturiensis",20
"188","ADCAHA_Calathus_auctus",19
"189","ADCAHA_Calathus_brevis",19
"190","ADCAHA_Calathus_circumseptus",22
"191","ADCAHA_Calathus_erratus",19
"192","ADCAHA_Calathus_freyi",18
"193","ADCAHA_Calathus_fuscipes",19
"194","ADCAHA_Calathus_granatensis",19
"195","ADCAHA_Calathus_melanocephalus",19
"196","ADCAHA_Calathus_micropterus",19
"197","ADCAHA_Calathus_mollis",20
"198","ADCAHA_Calathus_rectus",19
