Higher taxonomic group,Order,Family,Genus,Species,femalediploidnumber,malediploidnumber,"Predicted ploidy (1,2,3,4)",reproductivemode,sexchromosome,"Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","Haplodiploidy (arrhenotoky,paternal genome elimination,other)","Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","Polyfactorial (yes,no)","Molecular basis (dosage,Y dominant,W dominant)",entry initials,entry name,entry email,"notes, comments",source: Chromosome number (female),source: Chromosome number (male),"source: Predicted ploidy (1,2,3,4)","source: Sexual system (hermaphrodite,monoecy,dioecy,gynodioecy,androdioecy,gynomonoecy,andromonoecy,polygamodioecy,polygamomonoecy,apomictic,other)","source: Karyotype (ZO,ZW,XY,XO,WO,homomorphic,complex XY,complex ZW)","source: Genotypic (male heterogametic,female heterogametic,GSD,polygenic)","source: Haplodiploidy (arrhenotoky,paternal genome elimination,other)","source: Environmental (TSD,TSD Ia,TSD Ib,TSD II,size,density,pH,ESD_other)","source: Polyfactorial (yes,no)","source: Molecular basis (dosage,Y dominant,W dominant)",citation
Amphibia,Anura,Bombinatoridae,Bombina,bombina,,,,gonochorous,,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Hayes T. B. (1998) J Exp Zool 281: 373-399,,,,,,,Hayes T. B. (1998) J Exp Zool 281: 373-399
Amphibia,Anura,Bombinatoridae,Bombina,orientalis,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ","Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ","Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. ",,,,,"Kawamura T., Nishioka M. (1977) In Taylor DH, Guttman DI, The Reproductive Biology of Amphibians, Plenum Publishers, New York. "
Amphibia,Anura,Bombinatoridae,Bombina,variegata,,,,gonochorous,,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Hayes T. B. (1998) J Exp Zool 281: 373-399,,,,,,,Hayes T. B. (1998) J Exp Zool 281: 373-399
Amphibia,Anura,Bufonidae,Bufo,baturae,33,,3,gonochoristic|other,,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,triploid with mixed sexual and clonal genome transmission,"Stock, M., Ustinova, J., Betto-Colliard, C., Schartl, M., Moritz, C., & Perrin, N. (2012). Simultaneous Mendelian and clonal genome transmission in a sexually reproducing, all triploid vertebrate. Proceedings of the Royal Society B: Biological Sciences, 279:1293-1299.",,"Stock, M., Ustinova, J., Betto-Colliard, C., Schartl, M., Moritz, C., & Perrin, N. (2012). Simultaneous Mendelian and clonal genome transmission in a sexually reproducing, all triploid vertebrate. Proceedings of the Royal Society B: Biological Sciences, 279:1293-1299.","Stock, M., Ustinova, J., Betto-Colliard, C., Schartl, M., Moritz, C., & Perrin, N. (2012). Simultaneous Mendelian and clonal genome transmission in a sexually reproducing, all triploid vertebrate. Proceedings of the Royal Society B: Biological Sciences, 279:1293-1299.",,,,,,,"Stock, M., Ustinova, J., Betto-Colliard, C., Schartl, M., Moritz, C., & Perrin, N. (2012). Simultaneous Mendelian and clonal genome transmission in a sexually reproducing, all triploid vertebrate. Proceedings of the Royal Society B: Biological Sciences, 279:1293-1299."
Amphibia,Anura,Bufonidae,Bufo,bufo,,,,gonochorous,homomorphic,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,Ponse K. (1942) Rev. Suisse Zool. 49: 185-189.,Ponse K. (1942) Rev. Suisse Zool. 49: 185-189.,Ponse K. (1942) Rev. Suisse Zool. 49: 185-189.,,,,,Ponse K. (1942) Rev. Suisse Zool. 49: 185-189.
Amphibia,Anura,Bufonidae,Bufo,calamita,,,,gonochorous,homomorphic,,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,,,,,"Ullerich, F.-H. (1966) Karyotyp und DNS-Gehalt von Bufo bufo, B. viridis, B. bufo X  B. viridis und B. calamita (Amphibia, Anura). Chromosoma 18(2): 316-342. ","Ullerich, F.-H. (1966) Karyotyp und DNS-Gehalt von Bufo bufo, B. viridis, B. bufo X  B. viridis und B. calamita (Amphibia, Anura). Chromosoma 18(2): 316-342. ",,,,,,"Ullerich, F.-H. (1966) Karyotyp und DNS-Gehalt von Bufo bufo, B. viridis, B. bufo X  B. viridis und B. calamita (Amphibia, Anura). Chromosoma 18(2): 316-342. "
Amphibia,Anura,Bufonidae,Bufo,gargarizans,,,,gonochorous,homomorphic,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,replication patterns,,,,"Changxiang W., Qun L., Wei X. (1983) Acta genetica Sinica 10: 291-297.","Changxiang W., Qun L., Wei X. (1983) Acta genetica Sinica 10: 291-297.","Changxiang W., Qun L., Wei X. (1983) Acta genetica Sinica 10: 291-297.",,,,,"Changxiang W., Qun L., Wei X. (1983) Acta genetica Sinica 10: 291-297."
Amphibia,Anura,Bufonidae,Bufo,marinus,,,,gonochorous,homomorphic,female heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,Chromosome 7; NOR,,,,Abramyan J. et al. (2009) Chromosome Research 17: 1015-1024.,Abramyan J. et al. (2009) Chromosome Research 17: 1015-1024.,Abramyan J. et al. (2009) Chromosome Research 17: 1015-1024.,,,,,Abramyan J. et al. (2009) Chromosome Research 17: 1015-1024.
Amphibia,Anura,Bufonidae,Bufo,melanostictus,22,22,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,G-banding,Siripyasing P. et al. (2008) Cytologia 73: 229-241.,Siripyasing P. et al. (2008) Cytologia 73: 229-241.,,Siripyasing P. et al. (2008) Cytologia 73: 229-241.,Siripyasing P. et al. (2008) Cytologia 73: 229-241.,Siripyasing P. et al. (2008) Cytologia 73: 229-241.,,,,,Siripyasing P. et al. (2008) Cytologia 73: 229-241.
Amphibia,Anura,Bufonidae,Bufo,raddei,,,,gonochorous,homomorphic,male heterogametic,,,,,NP,Nicolas Perrin,Nicolas.Perrin@unil.ch,chromosome 6,,,,"Chongxin D., Kegang S. (1984) Acta genetica Sinica 11: 395-399.","Chongxin D., Kegang S. (1984) Acta genetica Sinica 11: 395-399.","Chongxin D., Kegang S. (1984) Acta genetica Sinica 11: 395-399.",,,,,"Chongxin D., Kegang S. (1984) Acta genetica Sinica 11: 395-399."
