fertilizer,sunlight,nitrogen,ph,moisture,height
A,Low,5.158454028181225,6.381323393656073,16.012763512483517,8.816711630646848
A,Low,4.451206852955295,7.062027948223324,20.834101136068615,11.023382762859429
A,Low,2.9020166453630254,6.199779733471864,16.775700220643373,8.946855343087629
A,Low,4.849758824052337,7.376934389418818,22.004950600224582,9.078163594012626
A,Low,3.5183724534152034,6.876592111529463,22.867497065501492,8.21720711045067
A,Low,5.145814486552104,7.034394166262989,17.367159240117033,8.595545258959413
A,Low,5.806171922438734,7.161288368998602,14.228852810908622,8.438470432483534
A,Low,7.9438587379465435,6.782916739874205,22.08736195741882,10.098388399665703
A,Low,5.614768437254829,7.5162398578766885,25.627401640140906,8.468728763481472
A,Low,3.77754931939035,6.902828636636182,21.2470836196773,11.238317818724235
A,Low,4.216760378560797,7.297035127619535,20.481633264439154,7.228018169371657
A,Low,5.279956212229127,6.9004438086213735,22.45928182883057,8.505434411176257
A,Low,5.186921658924303,7.145437193712461,22.295164537991052,9.081943472364046
A,Low,7.919178536456842,7.139831335078981,17.51303349871697,10.979329171495888
A,Low,7.79070585951391,7.124984969727765,18.022546067910056,9.860962391610228
A,High,4.282128147515477,6.5128460751895405,21.833370650167733,11.20417879966285
A,High,3.9027157436276037,7.21793788527372,19.567959957559122,9.0750418911611
A,High,-0.11410920813571668,6.840521505450202,23.949816787590656,9.104797618728892
A,High,3.90215917335556,7.315244015244959,17.886973558613725,11.75706683139502
A,High,3.0438845878314327,5.923753277793848,22.251829750605445,9.483544341753026
A,High,4.2903510838103625,6.267441888972525,21.027913944107684,11.072952056552241
A,High,5.783168484700222,7.181722781067514,19.620687308871098,10.85101667415957
A,High,5.354384658397976,7.931463792552615,23.527732315503822,7.889048515255215
A,High,4.940063985904915,7.4175293734056185,22.04021459860229,9.684283962597988
A,High,5.399164222177028,6.65877453290001,16.985098539853688,11.921513905509093
A,High,4.747764453538016,6.153973792311022,21.92065604125954,10.982420112390592
A,High,5.394037865086952,7.371343110580809,24.1249718944826,9.220270841339618
A,High,-1.4621100158386247,6.959708388978525,19.60866593304613,9.272290073674792
A,High,4.461413020498491,7.295352108947193,19.25403244884508,9.711624906361598
A,High,4.778298557893986,7.057649361105396,17.991058557069426,10.764715614896334
B,Low,4.317476567586828,7.014821462560247,19.959188342973945,11.164752353433556
B,Low,4.564107475794117,8.479312722946588,22.05860205815873,9.010880280119368
B,Low,6.4066202356134605,6.996935019477211,17.546995101263757,12.213346595679733
B,Low,3.8037893373183493,6.920377395373367,15.960927317788279,9.673439302273644
B,Low,9.401404198434257,6.939275662297989,18.872750267054222,11.044997562039644
B,Low,6.376593860444177,6.708231641646171,15.86082506402375,10.67603334958813
B,Low,4.987385498172256,7.495066447357656,21.569655323847893,10.402592391909653
B,Low,4.586675393604867,6.823122833109325,18.719930690018597,11.073844357968058
B,Low,4.826955427235729,7.317971352822295,14.73379446634758,10.016517219387133
B,Low,3.1693858601120426,7.142301514906778,18.95417745578447,11.12448431297534
B,Low,4.809594921483981,7.609492931066213,19.422155042617728,10.889596194955683
B,Low,5.557367033454109,7.210089798494181,21.347406840079152,10.36736699568364
B,Low,6.159083231146459,6.393307609526176,19.56390937053737,12.540064082175705
B,Low,6.159379558288667,6.33675610747303,25.606179370519428,12.840504171396569
B,Low,4.4502449068681305,7.704184573038451,18.443888445383003,10.384296488731701
B,High,2.1678354949561394,6.695644598367779,19.812804354253082,11.087545304339063
B,High,3.6617947475331087,6.339698710105174,19.691268157211987,10.154917715950992
B,High,8.224386085624776,6.6651907000651205,19.15211484677893,12.727207883263402
B,High,6.792116626819896,7.632312643484004,20.42727675503882,11.929971953738603
B,High,5.7392391726083485,6.289893500525744,21.623693891593017,12.822204408779326
B,High,3.4774115104797523,6.566752398120196,24.020296110609305,11.591420822453355
B,High,5.007290309947556,6.66659624560174,15.29223161781661,12.41291590832389
B,High,2.488662628675036,6.374405063263403,18.46897137858164,13.093486546274674
B,High,3.8961262486078527,6.407836330744168,18.65668572394327,11.435005610576594
B,High,4.50959331662961,6.240946012368171,22.813550892085118,11.741432706238951
B,High,4.276720136269574,6.769406293431639,18.93001081677997,10.58914757986247
B,High,6.913203862112024,6.822545584129958,14.314473220762043,12.654027899827042
B,High,2.162548171929095,6.658730922898347,20.26319139159973,12.296211972599165
B,High,3.2691354569696918,6.173151080516179,19.898932305377183,10.143094747640449
B,High,2.2506240579555614,7.626667973427998,20.539254697313947,10.195996263653281
