fertilizer,height
A,7.828738793398878
A,11.99469089316717
A,10.565956996103985
A,6.987410572163816
A,8.842799496062927
A,13.302873074194302
A,5.146641513213852
A,9.142174742287645
A,12.531872517411069
A,8.266519195469797
A,8.642227696755892
A,9.810582062126217
A,12.982779252248577
A,8.722196006630698
A,9.112036080707869
A,9.131297448762965
A,14.41186016545091
A,14.373572177947572
A,12.008107795757754
A,10.772372798349712
A,11.474737151792484
A,12.981464056301597
A,8.128332263195217
A,12.351658089564207
A,7.492238664501976
A,8.72449699509318
A,11.814210391600602
A,7.142638599548063
A,9.719862559622667
A,8.276490208280629
B,10.988761258938807
B,5.902821789078551
B,7.956933790980306
B,10.100245530804166
B,13.354924863517166
B,11.152728634419569
B,11.505691831793621
B,12.87644542220457
B,9.740927313981896
B,12.067254647614583
B,9.889266963868769
B,8.044661011758786
B,10.718200412489798
B,12.647611724810115
B,12.177178101999603
B,11.476339011042361
B,16.284730531875454
B,12.325824320617558
B,13.457472011874692
B,15.976286676995905
B,8.911829353677502
B,9.422423579590093
B,14.987424450245861
B,9.903874529517875
B,11.559366460606661
B,13.638631938848697
B,13.281412782586342
B,15.009772363962218
B,14.491288274066939
B,13.638785339411474
