"replicate","genotype","heat","growth"
1,"A","Cool",16.7089844789053
2,"A","Cool",13.5201815473616
3,"A","Cool",15.5885877638367
4,"A","Cool",14.1910320609535
5,"A","Cool",14.1142847985379
6,"A","Cool",13.8716015301182
7,"A","Cool",13.398302304705
8,"A","Cool",13.9492244157292
9,"A","Cool",13.9049429271788
10,"A","Cool",15.0008330469937
11,"A","Cool",16.6758802623576
12,"A","Cool",16.0367287160725
13,"A","Cool",18.4293478357517
14,"A","Cool",15.3048129560413
15,"A","Cool",14.6579629669671
16,"A","Cool",13.7490483454171
17,"A","Cool",13.554109403744
18,"A","Cool",17.6333686955779
19,"A","Cool",15.7631119385368
20,"A","Cool",15.2412555777616
21,"A","Cool",14.5847789710892
22,"A","Cool",13.0782808984407
1,"B","Cool",17.08354957789
2,"B","Cool",15.8061318011124
3,"B","Cool",14.6957548182065
4,"B","Cool",15.1398634765636
5,"B","Cool",12.8170781292453
6,"B","Cool",16.938745534974
7,"B","Cool",15.285535072444
8,"B","Cool",12.2930524343014
9,"B","Cool",14.8612892512117
10,"B","Cool",17.8069349674319
11,"B","Cool",17.8922663459059
12,"B","Cool",14.230044321515
13,"B","Cool",13.5580653146065
14,"B","Cool",11.5639852353206
15,"B","Cool",18.0921380844551
16,"B","Cool",16.5333813986051
17,"B","Cool",13.616546407882
18,"B","Cool",16.4803979815654
19,"B","Cool",14.7758379372179
20,"B","Cool",14.3424782962869
21,"B","Cool",14.6181163976582
22,"B","Cool",16.4136224946097
1,"A","Warm",14.0796900605374
2,"A","Warm",15.6842991544616
3,"A","Warm",19.7048659088966
4,"A","Warm",15.7658686375173
5,"A","Warm",13.7644325140096
6,"A","Warm",15.3088671480842
7,"A","Warm",12.7612537882312
8,"A","Warm",15.4697886430986
9,"A","Warm",16.1280849725896
10,"A","Warm",17.9516424523283
11,"A","Warm",16.2439368035328
12,"A","Warm",12.84173191137
13,"A","Warm",14.8753585232305
14,"A","Warm",15.8234714256675
15,"A","Warm",16.2952233622648
16,"A","Warm",18.0782075093485
17,"A","Warm",17.2899354726708
18,"A","Warm",13.4323237230939
19,"A","Warm",14.2825594536658
20,"A","Warm",18.824540547761
21,"A","Warm",14.4987052081851
22,"A","Warm",15.780464118433
1,"B","Warm",18.1870350161833
2,"B","Warm",21.0286336181865
3,"B","Warm",24.8952888770355
4,"B","Warm",20.6261298544187
5,"B","Warm",21.4016818835543
6,"B","Warm",18.1102871999689
7,"B","Warm",19.2175875795151
8,"B","Warm",23.6494191630874
9,"B","Warm",20.6652167680806
10,"B","Warm",17.2276644083442
11,"B","Warm",19.6662634802743
12,"B","Warm",21.5240041368746
13,"B","Warm",21.3354383114063
14,"B","Warm",18.9852776254131
15,"B","Warm",20.8871510129197
16,"B","Warm",20.9343783086853
17,"B","Warm",18.8561821108673
18,"B","Warm",21.0383931186484
19,"B","Warm",16.3955715033887
20,"B","Warm",19.7926258548651
21,"B","Warm",20.8745522410215
22,"B","Warm",20.1509326655397
